OID_,Degree,Elevation,Shape_Length,Distance
2,0,1904,0.016386439,1.815342829
4,0.72,1901,0.016361138,1.814101505
6,1.44,1903,0.016896835,1.874906891
8,2.16,1903,0.016877471,1.87395827
10,2.88,1900,0.016583234,1.842262857
12,3.6,1896,0.016570873,1.841657979
14,4.32,1892,0.016561861,1.841217118
16,5.04,1885,0.016278389,1.81004905
18,5.76,1883,0.016553919,1.840828693
20,6.48,1882,0.016555015,1.840882273
22,7.2,1882,0.016559511,1.841102165
24,7.92,1880,0.016567429,1.841489475
26,8.64,1877,0.016578793,1.842045534
28,9.36,1872,0.016593631,1.842771893
30,10.08,1865,0.016333221,1.812733061
32,10.8,1860,0.016354737,1.813787622
34,11.52,1858,0.016379771,1.815015588
36,12.24,1858,0.0166884,1.847419599
38,12.96,1857,0.016973173,1.87689807
40,13.68,1857,0.017038808,1.881880433
42,14.4,1855,0.017079716,1.883895803
44,15.12,1851,0.016841905,1.854979005
46,15.84,1856,0.017456687,1.919681525
48,16.56,1855,0.017226051,1.891126897
50,17.28,1852,0.01756815,1.925202733
52,18,1857,0.017630207,1.928284967
54,18.72,1857,0.017696591,1.931588686
56,19.44,1856,0.017767393,1.935119663
58,20.16,1857,0.018422074,2.001840823
60,20.88,1857,0.018213617,1.974431903
62,21.6,1856,0.018369748,1.986332948
64,22.32,1857,0.018978201,2.046702673
66,23.04,1857,0.019315295,2.077304553
68,23.76,1857,0.019344326,2.074435395
70,24.48,1860,0.020130763,2.152297842
72,25.2,1866,0.02030833,2.164516887
74,25.92,1867,0.020435251,2.171002427
76,26.64,1872,0.020872708,2.210048236
78,27.36,1879,0.021627083,2.281985517
80,28.08,1880,0.021779797,2.289869218
82,28.8,1875,0.022062705,2.311040855
84,29.52,1868,0.022106904,2.30685015
86,30.24,1868,0.023228684,2.414399758
88,30.96,1871,0.023696955,2.453137382
90,31.68,1871,0.023939231,2.467949672
92,32.4,1864,0.02414997,2.479088086
94,33.12,1858,0.024370004,2.490768102
96,33.84,1849,0.02459969,2.50301448
98,34.56,1846,0.024839405,2.515853633
100,35.28,1845,0.025430119,2.563645625
102,36,1845,0.026030259,2.611616595
104,36.72,1841,0.026309888,2.626807683
106,37.44,1837,0.026601639,2.642735687
108,38.16,1796,0.023041945,2.277518166
110,38.88,1794,0.023429728,2.303904451
112,39.6,1784,0.023238063,2.273070407
114,40.32,1766,0.02130659,2.073032007
116,41.04,1768,0.021362404,2.067202617
118,41.76,1768,0.02225097,2.14134466
120,42.48,1769,0.022707229,2.173064961
122,43.2,1759,0.022909199,2.180002503
124,43.92,1754,0.02324365,2.199169343
126,44.64,1749,0.023593271,2.219321628
128,45.36,1831,0.038030155,3.556286751
130,46.08,1847,0.038502751,3.579182483
132,46.8,1866,0.038729232,3.578742258
134,47.52,1877,0.039094082,3.59070432
136,48.24,1880,0.038917612,3.552812371
138,48.96,1879,0.038743308,3.515298568
140,49.68,1880,0.039308297,3.544643433
142,50.4,1883,0.040256387,3.607713016
144,51.12,1884,0.040545835,3.6111198
146,51.84,1877,0.041085789,3.636443631
148,52.56,1876,0.044729289,3.934207315
150,53.28,1872,0.046598381,4.073003171
152,54,1880,0.047134568,4.094144312
154,54.72,1873,0.047189921,4.073385382
156,55.44,1855,0.047785073,4.099074948
158,56.16,1851,0.051689983,4.406479756
160,56.88,1851,0.056378091,4.776371636
162,57.6,1849,0.059484389,5.008524641
164,58.32,1851,0.059558916,4.984188698
166,59.04,1846,0.06066104,5.045668559
168,59.76,1846,0.064653314,5.345425884
170,60.48,1839,0.06915543,5.683664233
172,61.2,1842,0.070668246,5.773947513
174,61.92,1799,0.069612735,5.654868182
176,62.64,1773,0.069832815,5.640485827
178,63.36,1741,0.069390441,5.57344505
180,64.08,1719,0.069825864,5.577676999
182,64.8,1698,0.069223584,5.499914342
184,65.52,1679,0.069054677,5.457749576
186,66.24,1708,0.086929409,6.835088209
188,66.96,1726,0.087964468,6.882122511
190,67.68,1727,0.089882406,6.998294127
192,68.4,1745,0.09093248,7.047077828
194,69.12,1797,0.093147966,7.186336735
196,69.84,1822,0.094215049,7.23729125
198,70.56,1829,0.095294052,7.289920372
200,71.28,1828,0.096100044,7.322593875
202,72,1819,0.098628195,7.487061769
204,72.72,1817,0.100593762,7.609217336
206,73.44,1810,0.102003146,7.690127144
208,74.16,1807,0.103144069,7.751933422
210,74.88,1795,0.105426432,7.900552391
212,75.6,1797,0.108000925,8.071921299
214,76.32,1643,0.02623606,1.956307311
216,77.04,1709,0.04772842,3.55098043
218,77.76,1724,0.047041326,3.493013635
220,78.48,1739,0.047029174,3.486128564
222,79.2,1754,0.04624301,3.422827498
224,79.92,1777,0.047206568,3.4898909
226,80.64,1792,0.047170214,3.483829871
228,81.36,1820,0.049644735,3.663960761
230,82.08,1857,0.050181998,3.701893249
232,82.8,1828,0.042117669,3.106333354
234,83.52,1854,0.043507632,3.208966217
236,84.24,1872,0.043517202,3.210589875
238,84.96,1878,0.042701356,3.152077015
240,85.68,1880,0.041614808,3.074257891
242,86.4,1885,0.041091452,3.038686558
244,87.12,1886,0.040296386,2.983633818
246,87.84,1892,0.040065184,2.970934123
248,88.56,1894,0.039002925,2.897133068
250,89.28,1903,0.039064014,2.907308118
252,90,1916,0.038852332,2.897802658
254,90.72,1921,0.03860379,2.886099642
256,91.44,1929,0.037603876,2.818594721
258,92.16,1939,0.037973288,2.854199974
260,92.88,1940,0.037677153,2.84036216
262,93.6,1930,0.036551148,2.764178746
264,94.32,1927,0.036291016,2.75366983
266,95.04,1919,0.035261646,2.68495253
268,95.76,1906,0.033979373,2.596817674
270,96.48,1898,0.033201508,2.547089171
272,97.2,1882,0.030152101,2.322342759
274,97.92,1876,0.029110278,2.251336466
276,98.64,1881,0.028355781,2.20231237
278,99.36,1886,0.028183326,2.198506338
280,100.08,1892,0.027721236,2.172185544
282,100.8,1897,0.027848323,2.192201762
284,101.52,1898,0.027094146,2.142878277
286,102.24,1903,0.02693152,2.140253631
288,102.96,1907,0.026738069,2.135279044
290,103.68,1910,0.02661468,2.135998554
292,104.4,1916,0.026762271,2.158687544
294,105.12,1922,0.026612179,2.157559314
296,105.84,1927,0.026464641,2.156699109
298,106.56,1931,0.026319575,2.156088413
300,107.28,1939,0.026767603,2.204358172
302,108,1943,0.02697062,2.232881662
304,108.72,1941,0.026620919,2.215715793
306,109.44,1925,0.026078063,2.182200229
308,110.16,1915,0.02593944,2.182320059
310,110.88,1904,0.025351169,2.144377999
312,111.6,1903,0.025044051,2.12989891
314,112.32,1895,0.02426623,2.074962461
316,113.04,1899,0.023801305,2.046272846
318,113.76,1899,0.023665961,2.045695915
320,114.48,1902,0.02353188,2.045147893
322,115.2,1888,0.023392374,2.044036854
324,115.92,1890,0.023267178,2.044080008
326,116.64,1895,0.022794243,2.013309182
328,117.36,1897,0.02263216,2.009707785
330,118.08,1897,0.02271126,2.027489572
332,118.8,1898,0.021887774,1.964335588
334,119.52,1899,0.021910504,1.97674163
336,120.24,1894,0.021416961,1.942328876
338,120.96,1888,0.021319123,1.94350361
340,121.68,1886,0.021508104,1.970841194
342,122.4,1886,0.021546023,1.984407943
344,123.12,1889,0.021615225,2.000865595
346,123.84,1887,0.020960471,1.949987267
348,124.56,1887,0.020971274,1.960680577
350,125.28,1892,0.020817633,1.955877651
352,126,1892,0.02070067,1.954337029
354,126.72,1893,0.020962751,1.988584068
356,127.44,1893,0.020830786,1.985438655
358,128.16,2225,0.041415339,3.966055295
360,128.88,2246,0.041325696,3.975760189
362,129.6,2293,0.042278714,4.085996817
364,130.32,2332,0.041905783,4.068157884
366,131.04,2361,0.041834757,4.079254513
368,131.76,2397,0.041955551,4.108887452
370,132.48,2419,0.041362449,4.068204684
372,133.2,2444,0.041671317,4.115917926
374,133.92,2454,0.041981226,4.163779181
376,134.64,2464,0.041863186,4.169053703
378,135.36,2469,0.041577331,4.157228129
380,136.08,2470,0.041843279,4.200341178
382,136.8,2477,0.041594451,4.19154831
384,137.52,2464,0.041341527,4.181908529
386,138.24,2446,0.041219461,4.185118869
388,138.96,2429,0.040903122,4.168190815
390,139.68,2421,0.040597933,4.151918362
392,140.4,2185,0.028316721,2.90605503
394,141.12,2160,0.025127597,2.587618349
396,141.84,2177,0.024729881,2.555222124
398,142.56,2200,0.025055177,2.597342944
400,143.28,2207,0.02502067,2.602095477
402,144,2282,0.026788305,2.794666603
404,144.72,2297,0.02659827,2.783332828
406,145.44,2320,0.026181768,2.747924714
408,146.16,2332,0.026598536,2.799787949
410,146.88,2353,0.026451482,2.792195941
412,147.6,2370,0.026870502,2.844247586
414,148.32,2382,0.026898015,2.854792485
416,149.04,2393,0.026946763,2.867415746
418,149.76,2410,0.027416238,2.924750645
420,150.48,2418,0.027764768,2.969196803
422,151.2,2429,0.028056649,3.007542315
424,151.92,2435,0.028716018,3.08530668
426,152.64,2464,0.029585662,3.185816454
428,153.36,2469,0.029759909,3.211466644
430,154.08,2467,0.029644617,3.205658044
432,154.8,2463,0.029534336,3.200113127
434,155.52,2456,0.02913875,3.163319725
436,156.24,2450,0.029039167,3.158331991
438,156.96,2446,0.028944246,3.153586317
440,157.68,2428,0.028853897,3.149077025
442,158.4,2420,0.028481517,3.113477775
444,159.12,2406,0.028400871,3.109465838
446,159.84,2397,0.028208415,3.092943221
448,160.56,2374,0.028252367,3.102094401
450,161.28,2361,0.02818437,3.09872622
452,162,2344,0.028403341,3.126705051
454,162.72,2331,0.028060565,3.092605134
456,163.44,2319,0.02828636,3.12092814
458,164.16,2307,0.028233826,3.118338079
460,164.88,2298,0.028185193,3.115942783
462,165.6,2541,0.038790524,4.292174417
464,166.32,2541,0.038734052,4.289397356
466,167.04,2537,0.038962265,4.317850962
468,167.76,2529,0.038915801,4.315569371
470,168.48,2523,0.039153327,4.344483311
472,169.2,2522,0.039116823,4.342692909
474,169.92,2510,0.039085401,4.341152545
476,170.64,2508,0.039059025,4.339860046
478,171.36,2497,0.03903766,4.338813479
480,172.08,2500,0.038743359,4.307115043
482,172.8,2505,0.039009848,4.337451572
484,173.52,2513,0.038725561,4.306243669
486,174.24,2515,0.038723988,4.306166662
488,174.96,2514,0.038727276,4.30632764
490,175.68,2518,0.038457553,4.275832715
492,176.4,2516,0.037914531,4.214667942
494,177.12,2517,0.037653878,4.184617333
496,177.84,2521,0.038510601,4.278430936
498,178.56,2519,0.038816319,4.310689519
500,179.28,2512,0.038569958,4.281340576
502,180,2514,0.039443664,4.375988737
504,180.72,2506,0.039207036,4.347119213
506,181.44,2503,0.039533827,4.3804156
508,182.16,2498,0.039866281,4.413991898
510,182.88,2494,0.039795269,4.402578825
512,183.6,2479,0.039987099,4.419937063
514,184.32,2458,0.039492544,4.361165043
516,185.04,2446,0.040128181,4.42689198
518,185.76,2463,0.041618084,4.586321851
520,186.48,2453,0.041987326,4.621731046
522,187.2,2440,0.041796121,4.595127149
524,187.92,2441,0.042461689,4.662353397
526,188.64,2440,0.042978369,4.712762502
528,189.36,2431,0.043384991,4.750663481
530,190.08,2416,0.043650001,4.772651029
532,190.8,2459,0.046645719,5.092367877
534,191.52,2446,0.046495641,5.067856248
536,192.24,2440,0.047780057,5.199179466
538,192.96,2444,0.048528422,5.271477407
540,193.68,2435,0.04869075,5.279620724
542,194.4,2433,0.049151832,5.319714265
544,195.12,2427,0.049036176,5.296997691
546,195.84,2428,0.049807511,5.369640831
548,196.56,2425,0.050000318,5.379387917
550,197.28,2428,0.050496887,5.421346695
552,198,2425,0.050408349,5.400080981
554,198.72,2422,0.050623843,5.411045244
556,199.44,2104,0.030437,3.245819828
558,200.16,2116,0.030876988,3.284973715
560,200.88,2142,0.030899706,3.279435009
562,201.6,2140,0.030824934,3.263383221
564,202.32,2155,0.028879243,3.049622823
566,203.04,2215,0.029401394,3.096686397
568,203.76,2238,0.029797684,3.130075529
