OID_,Join_Count,TARGET_FID,Degree,gridcode,ORIG_FID,ORIG_SEQ,Shape_Length,LENGTH
2,77,1,0.000000000000000,2359,1,2,0.027665262438452,3.047772132482559
4,76,2,0.720000000000000,2364,2,2,0.027609392410781,3.045022825161566
6,75,3,1.440000000000000,2375,3,2,0.027302262726926,3.014313578987238
8,73,4,2.160000000000000,2390,4,2,0.027227648597733,3.009025597123914
10,74,5,2.880000000000000,2391,5,2,0.027183096762455,3.006839902572620
12,72,6,3.600000000000000,2392,6,2,0.027422111999714,3.035829466347563
14,67,7,4.320000000000000,2394,7,2,0.027104666723521,3.002997003242884
16,67,8,5.039999999999999,2412,8,2,0.027629319342532,3.063264069713742
18,64,9,5.760000000000000,2419,9,2,0.027319392953779,3.030801932222666
20,64,10,6.480000000000000,2423,10,2,0.027571003886233,3.060412752245416
22,63,11,7.199999999999999,2426,11,2,0.027268839745008,3.028331504398194
24,66,12,7.920000000000000,2442,12,2,0.027805429028931,3.089185124558611
26,66,13,8.640000000000001,2456,13,2,0.027510738920647,3.057469659155726
28,65,14,9.360000000000001,2460,14,2,0.027497939119016,3.056845034391624
30,61,15,10.080000000000002,2465,15,2,0.027488805358727,3.056399410575187
32,58,16,10.800000000000002,2506,16,2,0.028038945195746,3.117915010320536
34,53,17,11.520000000000003,2523,17,2,0.028037162715510,3.117828065815952
36,52,18,12.240000000000004,2539,18,2,0.028039181908218,3.117926556740092
38,56,19,12.960000000000004,2558,19,2,0.027767174289668,3.087318171227960
40,49,20,13.680000000000005,2566,20,2,0.027776783203356,3.087786981270291
42,47,21,14.400000000000002,2580,21,2,0.027790243995168,3.088443873917463
44,48,22,15.120000000000003,2589,22,2,0.027807592253701,3.089290739882297
46,49,23,15.840000000000003,2599,23,2,0.028107339091058,3.121253418328922
48,46,24,16.560000000000006,2639,24,2,0.028132834776152,3.122499066590298
50,46,25,17.280000000000005,2641,25,2,0.028441403595326,3.154894090272864
52,43,26,18.000000000000007,2641,26,2,0.028475391406637,3.156556583248938
54,41,27,18.720000000000006,2635,27,2,0.027674398861918,3.065470526020733
56,42,28,19.440000000000008,2646,28,2,0.027995736043455,3.098494068709152
58,40,29,20.160000000000007,2640,29,2,0.028041580580529,3.100741864781646
60,40,30,20.880000000000010,2621,30,2,0.028091723605260,3.103202761419300
62,38,31,21.600000000000009,2617,31,2,0.028146234273930,3.105880780698506
64,38,32,22.320000000000011,2616,32,2,0.028721975149306,3.165740723822331
66,38,33,23.040000000000010,2615,33,2,0.028551529476480,3.143045181184737
68,36,34,23.760000000000012,2608,34,2,0.028903838297702,3.177608309819999
70,37,35,24.480000000000011,2592,35,2,0.029136860727750,3.198706522549786
72,38,36,25.200000000000014,2602,36,2,0.029342210297903,3.216430939946985
74,36,37,25.920000000000012,2613,37,2,0.029141223889566,3.189346826535334
76,36,38,26.640000000000015,1635,38,2,0.008870525542022,0.969214819029430
78,35,39,27.360000000000014,1607,39,2,0.008611474103405,0.939260139906352
80,35,40,28.080000000000016,1607,40,2,0.008352079779552,0.909290960915025
82,34,41,28.800000000000011,1623,41,2,0.008133418915857,0.883777968025033
84,35,42,29.520000000000010,1623,42,2,0.008122550602501,0.880817568656928
86,35,43,30.240000000000006,1638,43,2,0.008446363830304,0.914004529704906
88,34,44,30.960000000000008,1638,44,2,0.008187942712537,0.884096790712877
90,35,45,31.680000000000003,1638,45,2,0.008517465450507,0.917577887907201
92,34,46,32.399999999999999,1650,46,2,0.008354844631098,0.897923973318046
94,35,47,33.119999999999997,1650,47,2,0.008298502270063,0.889672859275100
96,35,48,33.839999999999996,1656,48,2,0.008578297102957,0.917321856118847
98,34,49,34.559999999999988,1656,49,2,0.008681107077165,0.925862206448156
100,35,50,35.279999999999994,1678,50,2,0.009028402070960,0.960269256147231
102,35,51,35.999999999999986,1678,51,2,0.009077758329314,0.962790837467288
104,36,52,36.719999999999985,1682,52,2,0.009129276238777,0.965430435647909
106,37,53,37.439999999999984,1736,53,2,0.010021106365112,1.056553182908785
108,39,54,38.159999999999982,1736,54,2,0.009856381137481,1.035963491823995
110,40,55,38.879999999999974,1747,55,2,0.010229324380048,1.071728640752523
112,40,56,39.599999999999973,1747,56,2,0.010296330277555,1.075204655233204
114,39,57,40.319999999999972,1758,57,2,0.010224963543701,1.064145448880599
116,39,58,41.039999999999971,1777,58,2,0.010755833645438,1.115509535365429
118,41,59,41.759999999999970,1777,59,2,0.010833874323115,1.119599849971948
120,40,60,42.479999999999961,1793,60,2,0.010915140160734,1.123874633815849
122,36,61,43.199999999999960,1793,61,2,0.010946204140297,1.122848973188610
124,34,62,43.919999999999959,1610,62,2,0.007166855905173,0.732347847223111
126,35,63,44.639999999999958,1647,63,2,0.007555591202543,0.769034791772140
128,35,64,45.359999999999950,1647,64,2,0.007287856854362,0.738799313914580
130,36,65,46.079999999999949,1668,65,2,0.007599036684514,0.767174429610600
132,36,66,46.799999999999955,1668,66,2,0.007453761977094,0.749342874848100
134,36,67,47.519999999999939,1685,67,2,0.007792535614668,0.780034088729472
136,36,68,48.239999999999945,1685,68,2,0.007650818524062,0.762488785746626
138,37,69,48.959999999999944,1694,69,2,0.007975808306811,0.791319403317134
